,SMILES
190,c1c2n(CC)c3c(cc4c(c3)c3c(C4)cccc3)c2cc2c1c1c(C2)cc2c(c1)C(CC)(CC)c1c2cccc1
191,c1c(c2c(s1)nc1c(c2CC)CCS1)
192,c1sc(N(=O)=O)cc1
193,c1csc2c1c(C)c(C)c1c2scc1C=C
194,c1sc(c2c1cc(S)cc2)C=C
195,c1sc(c2c1c(C)ccc2C)C=C
196,c1c2nonc2c(cc1)
197,c1ccc(s1)C=C
198,c1sc2c(c1)oc1c2sc(c1)C=C
199,C1=C2C(C(=O)O1)=C(OC2=O)
200,c1c(OCC)c(cc(c1)OCC)C=C
201,c1sc2c(n1)Cc1c2sc(c1)C=C
202,N1C(=O)C=C(C1=O)
203,c1sc(c2c1cc(S)c(O)c2)
204,c1sc(c2c1cc(C(F)(F)F)cc2)
205,C1S[C@@H]2[C@@H]1NCC2C=C
206,c1sc(c2c1c(C(F)(F)F)ccc2)
207,c1c2c(SCC2)c2c(CCS2)c1
208,c1cc(CN)ccc1CN
209,c1occc1S
210,c1c2CCc2sc1
211,c1c(OCC)c(ccc1)
212,c1cnc(c2c1nsn2)
213,c1sc(CC)c2c1c(c[nH]2)
214,c1sc(c2c1[C@H](OC)CCC2)
215,c1oc(cc1C(=O)C(F)(F)F)C=C
216,c1c(C(=O)C)scc1C=C
217,c1c(OC)sc(OC)c1C=C
218,c1ccc(c2c1nc(CC)c(CC)n2)
219,c1sc(c(c1)C(=O)C(F)(F)F)
220,c1sc(c2c1[C@H](OC)CC[C@H]2OC)
221,c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1)
222,c1sc(c2c1nc(CCO)c(CN)n2)C=C
223,c1sc(c2c1cccc2F)C=C
224,C=Cc1csc(c1)
225,c1n(CC)c(cc1)
226,c1n(CC)nc(c1CC)CCC=C
227,c1c(c2c(cc1)cc1c(cc3c(c1)cc1c(c3)cccc1)c2)
228,c1ccc(cc1)C=C
229,c1sc(c2c1c(C=C)ccc2C)C=C
230,c1sc(c2c1cc(N(=O)=O)c(N)c2)C=C
231,c1sc(c2c1SCC(=O)CO2)C=C
232,c1sc(c2c1sc(=O)c(=O)s2)C=C
233,c1c2cccc(c2cs1)C=C
234,c1csc2c1n(CC)c1c2scc1C=C
235,c1sc(c2c1cc(C(=O)OC)s2)C=C
236,c1sc(c2c1C[C@H](C(=O)C(F)(F)F)CC2)
237,c1oc2c(c1)C(=O)c1c2sc(c1)C=C
238,c(o1)c2c(=O)Nc(=O)c2c1
239,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O)
240,c1sc(c2c1C[C@H](C(=O)C)CC2)
241,C1=CC2=CC(O)=CC2C=C1C=C
242,c1cc(cnc1)
243,c1sc(c2c1c(C(F)(F)F)ccc2)C=C
244,c1sc(c2c1scn2)
245,N1N[C@H]2[C@@H](C)[C@@H]3[C@@H](NSN3)[C@H](C)[C@H]2N1
246,c1sc(c(c1C)C)
247,c1sc(c2c1SCC(=O)CO2)
248,c1sc(c(n1)C(=O)OC)C=C
249,c1cc(c(cc1)N(c1ccccc1)c1ccccc1)
250,c1sc(c2c1[C@H](C=C)CCC2)
251,c1cc2c(s1)cc(s2)C=C
252,c1[nH]cc2c1S(=O)(=O)C(=C2)
253,c1sc(c2c1[C@H](C(=O)O)CC[C@H]2O)C=C
254,c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C(F)(F)F)C2)
255,c1c(C)cc(CC)c(C)c1C=C
256,c(c1)cc(CC)cc1
257,c1sc(c2c1c(C#N)ccc2OC)
258,c1[nH]c(=O)c2c1c(=O)[nH]c2C=C
259,c1scc2c1c(c(cc2)O)C=C
260,c1c(c2c(cc1)cc1c(cc3c(c1)cc1c(c3)cccc1)c2)C=C
261,c1scc(N(O)O)c1N(O)O
262,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C#N)C=C
263,Nc1sc(c2c1nccn2)
264,c1sc(c2c1c(C)ccc2)
265,c1occ(C)c1C=CC=C
266,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)
267,c1sc2c(c1)sc1cc(sc21)
268,c1[nH]c(cc1)C(C(=O)N)=C
269,c1sc(c2c1sc(=S)o2)C=C
270,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)C=C
271,c1sc(c2c1cc(C(=O)O)c(O)c2)C=C
272,c1sc(c2c1CCS(=O)(=O)C2)
273,N1CN[C@@H]2N[C@H]3[C@@H](N[C@H]12)NCN3C=C
274,C1=CC2=C(C1)C=C(C2)C=C
275,c1sc(c2c1cc1C(=O)N(CC)C(=O)c1c2)
276,N1c2cscc2N(CC(=O)C1)
277,c1coc(N(=O)=O)c1
278,c1scc2c1CCC[C@H]2C(=O)O
279,c1nc2cscc2nc1C=C
280,c1sc(C(=O)OC)cc1
281,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2OC)C=C
282,c1scc2c1C=C(C2)
283,c1cc2c(cc1)c1c(C2(CC)CC)cc2c(c1)C(CC)(CC)c1c2cc2c(c1)c1c(C2(CC)CC)cc(cc1)C=C
284,c1sc(c2c1cc(S)c(O)c2)C=C
285,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2)C=C
286,N1C(=S)C=C(C1=S)C=C
287,c1sc(c2c1[nH]c(=O)[nH]2)C=C
288,N1C=c2c3c(=C1)ccc1=CN(C=c(c31)cc2)C=C
289,C1=C2C(C(=O)N1)=C(OC2=O)
290,c1c2c(c3c(cccc3)n2CC)c(c2c1c1c(n2CC)cccc1)
291,c1c(C)c(c2c1ccco2)C=C
292,c1c2cscc2c(nn1)
293,c1sc(c2c1occ2)C=C
294,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2)
295,c1sc(c(c1C(F)(F)F)C(F)(F)F)
296,c1occc1C=C
297,c1sc(c(c1O)S)C=C
298,c1sc(c2c1c(C)ccc2)C=C
299,c1c(OCC)c(cc(c1)OCC)
300,c1sc(c2c1C[C@H](C(=O)OC)CC2)C=C
301,c1sc(c2c1CCC[C@H]2O)
302,c1sc2c(c1)C(=O)C(=C2)
303,c1sc(c2c1cc(C)c(C)c2)C=C
304,c1csc2c1c(CC)c(CC)c1c(csc21)
305,c1sc(c(c1)C=O)
306,c1c2n(CCC)c3c(c2ccc1)cccc3C=C
307,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C
308,c1c2nc(C)c(C)nc2c(s1)C=C
309,N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)
310,c1cc2c(cc1)C(C(=O)N2CC)C1C(=O)Nc2cc(ccc12)
311,c1c(c2c(s1)c(OC)c1c(c2OC)scc1)
312,c1oc(c(c1OC)C#N)C=C
313,c1sc(c2c1ccc(F)c2)C=C
